user_sequence,challenge
4577_11,CI23848
4577_12,CI23691
4577_13,CI25126
4578_11,CI24530
4578_12,CI23848
4578_13,CI25126
4579_11,CI26953
4579_12,CI26959
4579_13,CI26958
4583_11,CI23648
4583_12,CI24958
4583_13,CI23691
4584_11,CI23663
4584_12,CI23933
4584_13,CI24958
4586_11,CI23848
4586_12,CI23691
4586_13,CI24187
4588_11,CI23855
4588_12,CI23691
4588_13,CI25135
4589_11,CI26167
4589_12,CI26168
4589_13,CI26170
4594_11,CI24530
4594_12,CI25135
4594_13,CI23691
4595_11,CI26168
4595_12,CI26170
4595_13,CI26159
4597_11,CI26167
4597_12,CI26168
4597_13,CI26170
4598_11,CI23691
4598_12,CI24187
4598_13,CI24958
4599_11,CI23848
4599_12,CI24530
4599_13,CI24958
4600_11,CI23691
4600_12,CI24958
4600_13,CI23848
4601_11,CI26168
4601_12,CI26170
4601_13,CI26171
4603_11,CI23714
4603_12,CI23769
4603_13,CI23975
4605_11,CI26952
4605_12,CI26958
4605_13,CI26951
4607_11,CI23691
4607_12,CI24958
4607_13,CI24228
4608_11,CI23975
4608_12,CI24187
4608_13,CI24958
4610_11,CI24530
4610_12,CI25135
4610_13,CI23848
4613_11,CI26959
4613_12,CI26943
4613_13,CI26949
4614_11,CI25135
4614_12,CI24530
4614_13,CI23933
4620_11,CI23848
4620_12,CI23933
4620_13,CI23975
4621_11,CI23648
4621_12,CI24532
4621_13,CI24187
4623_11,CI26954
4623_12,CI26958
4623_13,CI26952
4627_11,CI23933
4627_12,CI23648
4627_13,CI23691
4628_11,CI23769
4628_12,CI25126
4628_13,CI24530
4633_11,CI24876
4633_12,CI24534
4633_13,CI24958
4634_11,CI23714
4634_12,CI25135
4634_13,CI23663
4636_11,CI26170
4636_12,CI26171
4636_13,CI26160
4640_11,CI26170
4640_12,CI26171
4640_13,CI26160
4649_11,CI25135
4649_12,CI24530
4649_13,CI23691
4650_11,CI26171
4650_12,CI26210
4650_13,CI26173
4651_11,CI28581
4651_12,CI28583
4651_13,CI28584
4655_11,CI24530
4655_12,CI25124
4655_13,CI24917
4656_11,CI23663
4656_12,CI23848
4656_13,CI23933
4657_11,CI23714
4657_12,CI24958
4657_13,CI25135
4659_11,CI24968
4659_12,CI23769
4659_13,CI25126
4665_11,CI26171
4665_12,CI26174
4665_13,CI26169
4666_11,CI26951
4666_12,CI26952
4666_13,CI26949
4667_11,CI24876
4667_12,CI24953
4667_13,CI23855
4668_11,CI26170
4668_12,CI26171
4668_13,CI26210
4671_11,CI26171
4671_12,CI26210
4671_13,CI26173
4674_11,CI24958
4674_12,CI24187
4674_13,CI23648
4676_11,CI23663
4676_12,CI23714
4676_13,CI24228
4682_11,CI23691
4682_12,CI23663
4682_13,CI24530
4685_11,CI26163
4685_12,CI26165
4685_13,CI26166
4686_11,CI23848
4686_12,CI23933
4686_13,CI24958
4690_11,CI26210
4690_12,CI26211
4690_13,CI26209
4697_11,CI26173
4697_12,CI26211
4697_13,CI26210
4699_11,CI23663
4699_12,CI25056
4699_13,CI23714
4702_11,CI28585
4702_12,CI28583
4702_13,CI28584
4705_11,CI26174
4705_12,CI26173
4705_13,CI26210
4707_11,CI24958
4707_12,CI25135
4707_13,CI25056
4708_11,CI26952
4708_12,CI26958
4708_13,CI26951
4712_11,CI26171
4712_12,CI26174
4712_13,CI26169
4714_11,CI26051
4714_12,CI24530
4714_13,CI25126
4715_11,CI26171
4715_12,CI26210
4715_13,CI26173
4716_11,CI24958
4716_12,CI23648
4716_13,CI25135
4723_11,CI26173
4723_12,CI26210
4723_13,CI26211
4724_11,CI26171
4724_12,CI26210
4724_13,CI26173
4726_11,CI23714
4726_12,CI23663
4726_13,CI23691
4730_11,CI27663
4730_12,CI27664
4730_13,CI27665
4731_11,CI23691
4731_12,CI25126
4731_13,CI24958
4733_11,CI26171
4733_12,CI26210
4733_13,CI26173
4735_11,CI26171
4735_12,CI26210
4735_13,CI26173
4737_11,CI26171
4737_12,CI26211
4737_13,CI26173
4738_11,CI24530
4738_12,CI23848
4738_13,CI23691
